r_group	smiles	atom_num
c1[*]cc(N)[nH]n1	Nc1ccn[nH]1	6
[C@H]1[*]O	OC1CCCC1	6
n1[*]cc[nH+]c1C	Cc1[nH]cc[nH+]1	6
c1[*]nncn1C	Cn1cnnc1	6
C[*]C1CCCC1	CC1CCCC1	6
C[*]c1c[nH+]c[nH]1	Cc1c[nH+]c[nH]1	6
S[*]CC(=O)OC	COC(=O)CS	6
C[*](=O)NC(C)C	CC(C)NC=O	6
c1[*]n[nH]c(=O)[nH]1	O=c1[nH]cn[nH]1	6
n1[*]cc(C)cn1	Cc1cn[nH]c1	6
c1[*]cccnn1	c1ccnnc1	6
C[*][C@@H]1CCCO1	C[C@@H]1CCCO1	6
C[*](=O)N(C)CC	CCN(C)C=O	6
c1[*]noc(=O)[nH]1	O=c1[nH]cno1	6
C[*]C[N@@H+](C)CC	CC[NH+](C)CC	6
C[*](=O)NC1CC1	O=CNC1CC1	6
N1[*]CCCC1=O	O=C1CCCN1	6
c1[*]cc(C)no1	Cc1ccon1	6
[NH+]1[*]CCOCC1	C1COCC[NH2+]1	6
C[*][NH+]1CCCC1	C[NH+]1CCCC1	6
c1[*]nc[nH]c1C	Cc1cnc[nH]1	6
c1[*]nc(C)no1	Cc1ncon1	6
c1[*]ccc(C)o1	Cc1ccco1	6
C[*]c1ncc[nH]1	Cc1ncc[nH]1	6
N[*][C@H](C)COC	COC[C@@H](C)N	6
c1[*]coc(C)n1	Cc1ncco1	6
[C@@H][*](O)C(C)(C)C	CC(C)(C)CO	6
C[*]CC[NH+](C)C	CCC[NH+](C)C	6
C[*]c1cccs1	Cc1cccs1	6
c1[*]c[nH]c(=O)[nH]1	O=c1[nH]cc[nH]1	6
C[*]n1cccn1	Cn1cccn1	6
[C@@H]1[*]	C1CC[NH2+]CC1	6
C[*]C(=O)N(C)C	CC(=O)N(C)C	6
N[*](CC)CCO	CCNCCO	6
c1[*]ccc(Cl)s1	Clc1cccs1	6
C[*]NC(=O)OC	CNC(=O)OC	6
c1[*]nc(C)n[nH]1	Cc1nc[nH]n1	6
c1[*]cccn1C	Cn1cccc1	6
[C@H]1[*]C	C[NH+]1CCCC1	6
c1[*]ccoc1C	Cc1ccco1	6
N[*]C(=O)CCC	CCCC(N)=O	6
S[*]CC(C)(C)O	CC(C)(O)CS	6
c1[*]csc(C)n1	Cc1nccs1	6
c1[*]cccn[nH+]1	c1cc[nH+]nc1	6
c1[*]cccnc1	c1ccncc1	6
c1[*]n[nH]c(N)n1	Nc1ncn[nH]1	6
N[*]C(=O)C1CC1	NC(=O)C1CC1	6
[C@H]1[*]	C1CC[NH2+]CC1	6
C[*]c1ccco1	Cc1ccco1	6
C[*]n1cncn1	Cn1cncn1	6
O[*]C1CCCC1	OC1CCCC1	6
c1[*]c[nH+]c(N)[nH]1	Nc1[nH]cc[nH+]1	6
c1[*]ccc(C)s1	Cc1cccs1	6
c1[*]cc(Cl)c[nH]1	Clc1cc[nH]c1	6
C[*](=O)NCCC	CCCNC=O	6
[C@@H]1[*]CC=CCC1	C1=CCCCC1	6
C[*][C@@H]1CCOC1	C[C@@H]1CCOC1	6
C[*](=O)OC(C)C	CC(C)OC=O	6
C1[*]CCOCC1	C1CCOCC1	6
N1[*]CC[C@@H](O)C1	O[C@@H]1CCNC1	6
N[*]C(=O)C(C)C	CC(C)C(N)=O	6
N1[*]CCOCC1	C1COCCN1	6
c1[*]c[nH+]cn1C	Cn1cc[nH+]c1	6
c1[*][nH]cnc1C	Cc1c[nH]cn1	6
C[*]CNC(C)=O	CCNC(C)=O	6
N1[*]CCOC1=O	O=C1NCCO1	6
[NH+]1[*]CCCCC1	C1CC[NH2+]CC1	6
C1[*]CC[NH2+]CC1	C1CC[NH2+]CC1	6
c1[*]nccn1C	Cn1ccnc1	6
c1[*]csc(N)n1	Nc1nccs1	6
c1[*]ccccn1	c1ccncc1	6
c1[*]cc(C)n[nH]1	Cc1cc[nH]n1	6
C[*][C@@H]1CC[NH2+]C1	C[C@@H]1CC[NH2+]C1	6
C[*]C(=O)OCC	CCOC(C)=O	6
[C@@H][*](C)NC(N)=O	CCNC(N)=O	6
C1[*]=CCCCC1	C1=CCCCC1	6
C[*]c1[nH]cc[nH+]1	Cc1[nH]cc[nH+]1	6
[C@@H][*](C)CC	CC[C@H](C)C[NH3+]	6
c1[*]nc([O-])n[nH]1	[O-]c1nc[nH]n1	6
c1[*]noc([O-])n1	[O-]c1ncno1	6
[C@@H]1[*]C	C[NH+]1CCCC1	6
c1[*]ccc[nH+]c1	c1cc[nH+]cc1	6
c1[*][nH]c[nH+]c1C	Cc1c[nH]c[nH+]1	6
[*]/C(O)=N\C1CC1	O/C=N/C1CC1	6
N1[*]CCNC1=O	O=C1NCCN1	6
C[*][C@@H]1C=CCC1	C[C@@H]1C=CCC1	6
c1[*][nH]cc(C)[nH+]1	Cc1c[nH]c[nH+]1	6
[C@@H][*])C1	[NH3+]C1CCCC1	6
c1[*][nH+]ccn1C	Cn1cc[nH+]c1	6
n1[*]cc[nH]c1=O	O=c1[nH]cc[nH]1	6
C[*]OCC1CC1	COCC1CC1	6
C1[*]CCCCC1	C1CCCCC1	6
C[*][NH+](CC)CC	CC[NH+](C)CC	6
c1[*]cc(C)on1	Cc1ccno1	6
C[*]c1cc[nH]n1	Cc1cc[nH]n1	6
C[*]n1cc[nH+]c1	Cn1cc[nH+]c1	6
C[*][C@H]1CCOC1	C[C@H]1CCOC1	6
c1[*]ccccc1	c1ccccc1	6
C[*]n1ccnc1	Cn1ccnc1	6
C[*]CCOCC	CCCOCC	6
C[*]c1ccsc1	Cc1ccsc1	6
c1[*]ccncc1	c1ccncc1	6
[C@H]1[*]CC=CCC1	C1=CCCCC1	6
c1[*]cc[nH+]cc1	c1cc[nH+]cc1	6
C[*]n1cccc1	Cn1cccc1	6
N1[*]CCCCO1	C1CCONC1	6
C[*]CC(=O)OC	CCC(=O)OC	6
N1[*]CC[NH2+]CC1	C1C[NH2+]CCN1	6
c1[*]ccc(O)cc1	Oc1ccccc1	7
C[*]Cn1cccn1	CCn1cccn1	7
c1[*]cccc(N)c1	Nc1ccccc1	7
[C@@H][*](C)C1	CC1CCCCC1	7
c1[*]ccccc1F	Fc1ccccc1	7
C[*](=O)N[C@@H](C)CC	CC[C@H](C)NC=O	7
C[*]N1CCOCC1	CN1CCOCC1	7
c1[*]ccc(C)cc1	Cc1ccccc1	7
C1[*]CCC(=O)CC1	O=C1CCCCC1	7
S[*]CC(=O)N(C)C	CN(C)C(=O)CS	7
C[*]Cc1cn[nH]c1	CCc1cn[nH]c1	7
