r_group	smiles	atom_num
C[*][N@@H+]1CCC[C@H](C)C1	C[C@H]1CCC[N@@H+](C)C1	8
N[*]C(=O)NCCCO	NC(=O)NCCCO	8
c1[*]cn2c([nH+]1)SCC2	c1cn2c([nH+]1)SCC2	8
[C@@H][*](C)CCN1C	CN1CC[NH+](C)CC1	8
S[*]c1ncnc(N)n1	Nc1ncnc(S)n1	8
c1[*]cc([N+](=O)[O-])c[nH]1	O=[N+]([O-])c1cc[nH]c1	8
[S@@][*](=O)C1CCCCC1	O=[SH]C1CCCCC1	8
N[*]c1ccc(C)[nH+]n1	Cc1ccc(N)n[nH+]1	8
C[*]c1ccncc1C	Cc1ccncc1C	8
O[*]Cc1cccnc1	OCc1cccnc1	8
N[*]C(=O)C(CC)CC	CCC(CC)C(N)=O	8
C[*]c1cccc(F)c1	Cc1cccc(F)c1	8
c1[*]cccc(CC)c1	CCc1ccccc1	8
C[*][C@@H](O)c1ccco1	C[C@@H](O)c1ccco1	8
C[*]C[C@@H]1CCCC[NH2+]1	CC[C@@H]1CCCC[NH2+]1	8
C[*](=O)N1CCOCC1	O=CN1CCOCC1	8
C[*]c1cccc(C)c1	Cc1cccc(C)c1	8
N[*]C(=O)c1cnc[nH]1	NC(=O)c1cnc[nH]1	8
C[*]Cc1ccccn1	CCc1ccccn1	8
[C@@H][*](C2CC2)C1	C1CC[NH+](C2CC2)C1	8
c1[*]cccc(C)c1C	Cc1ccccc1C	8
C[*]C(=O)N1CCCC1	CC(=O)N1CCCC1	8
C[*][NH+]1CCC(C)CC1	CC1CC[NH+](C)CC1	8
C[*]C[NH+]1CCOCC1	CC[NH+]1CCOCC1	8
[C@@H]1[*]CCCCNC1=O	O=C1CCCCCN1	8
[NH2+][*]Cc1ccccc1	[NH3+]Cc1ccccc1	8
C[*]CC1=CCCCC1	CCC1=CCCCC1	8
N[*](C)Cc1cc[nH]n1	CNCc1cc[nH]n1	8
[*]/[NH+]=C1/CCCCN1C	[H]/[NH+]=C1/CCCCN1C	8
c1[*][nH]nc2c1CCC2	c1[nH]nc2c1CCC2	8
C[*]c1ccc(Cl)cc1	Cc1ccc(Cl)cc1	8
[C@H][*](C)Cn1cncn1	CCCn1cncn1	8
C[*]c1ccccc1Cl	Cc1ccccc1Cl	8
[C@@H][*](O)c1sccc1C	Cc1ccsc1CO	8
C[*]C(=O)c1ccc[nH]1	CC(=O)c1ccc[nH]1	8
C[*]Cc1c[nH]c(=O)[nH]1	CCc1c[nH]c(=O)[nH]1	8
c1[*]cccc(F)c1F	Fc1ccccc1F	8
c1[*]ccc(COC)o1	COCc1ccco1	8
[C@H][*](O)c1sccc1C	Cc1ccsc1CO	8
C[*]Cc1ccccc1	CCc1ccccc1	8
C[*][N@@H+]1CCCC[C@H]1C	C[C@@H]1CCCC[N@H+]1C	8
c1[*]ccc(O)c(O)c1	Oc1ccccc1O	8
N[*]C(=O)c1ccsc1	NC(=O)c1ccsc1	8
N[*]c1ccc(O)cc1	Nc1ccc(O)cc1	8
c1[*]ccc(O)cc1O	Oc1cccc(O)c1	8
c1[*]cccc(C)c1O	Cc1ccccc1O	8
C[*]SC1CCCCC1	CSC1CCCCC1	8
C[*][C@@H]1CCC[N@@H+]1CC	CC[N@H+]1CCC[C@H]1C	8
[C@@H]1[*]CCOCC1	CC[NH+]1CCOCC1	8
c1[*]cccc(C[NH3+])c1	[NH3+]Cc1ccccc1	8
C[*](=O)N(CC)C1CC1	CCN(C=O)C1CC1	8
c1[*]ccc(C)c(F)c1	Cc1ccccc1F	8
C[*]Cc1cccnc1	CCc1cccnc1	8
c1[*]cc(C)ccc1C	Cc1ccc(C)cc1	8
c1[*]cc(C(C)C)[nH]n1	CC(C)c1ccn[nH]1	8
c1[*]ccc(O)cc1C	Cc1cccc(O)c1	8
N[*]C(=O)c1ccn[nH]1	NC(=O)c1ccn[nH]1	8
c1[*]cc(C2CC2)on1	c1cc(C2CC2)on1	8
[C@H]12[*]	C1C[C@H]2CCC[C@H]2C1	8
c1[*]cc(C2CC2)[nH]n1	c1cc(C2CC2)[nH]n1	8
c1[*]cc(C)nc(N)n1	Cc1ccnc(N)n1	8
C[*]c1c(O)n[nH]c1C	Cc1[nH]nc(O)c1C	8
C[*](=O)C1CCCCC1	O=CC1CCCCC1	8
[*]/C=C/c1csc(C)n1	[H]/C=C/c1csc(C)n1	8
c1[*]cc2sccc2[nH]1	c1cc2sccc2[nH]1	8
C[*]c1cc(C)oc1C	Cc1cc(C)c(C)o1	8
[*]/N=C\c1cccnc1	[H]/N=C\c1cccnc1	8
C[*](=O)NCCCOC	COCCCNC=O	8
N[*]C(=O)c1ccc[nH]1	NC(=O)c1ccc[nH]1	8
[NH+][*](C)C1	C[C@H]1C[NH2+]C[C@H](C)C1	8
C[*]OC1CCCCC1	COC1CCCCC1	8
C[*](=O)N1CCCCC1	O=CN1CCCCC1	8
C[*]N1CC[NH+](C)CC1	CN1CC[NH+](C)CC1	8
[C@H][*](C)N1CCOCC1	CCN1CCOCC1	8
C[*](C)(C)[C@H]([NH3+])C(=O)[O-]	CC(C)[C@H]([NH3+])C(=O)[O-]	8
N1[*]CC[NH+](CC)CC1	CC[NH+]1CCNCC1	8
c1[*]ccn(C)c(=O)c1	Cn1ccccc1=O	8
[C@H][*](C)c1ccncc1	CCc1ccncc1	8
c1[*]cccc(Cl)c1O	Oc1ccccc1Cl	8
C[*]CNC(=O)C(C)C	CCNC(=O)C(C)C	8
[*]/C=C\c1ccccc1	[H]/C=C\c1ccccc1	8
C[*]c1ccc(CC)s1	CCc1ccc(C)s1	8
[*]/C=C/c1cnn(C)c1	[H]/C=C/c1cnn(C)c1	8
[C@H][*](C)c1cnn(C)c1	CCc1cnn(C)c1	8
[C@H][*](O)c1cccn1C	Cn1cccc1CO	8
C[*](=O)c1ccccc1	O=Cc1ccccc1	8
O[*]CCn1ccnc1	OCCn1ccnc1	8
C[*]c1cccnc1N	Cc1cccnc1N	8
c1[*]cc(C)n(C)c1C	Cc1ccc(C)n1C	8
c1[*]nc(C2CC2)n[nH]1	c1nc(C2CC2)n[nH]1	8
[C@H][*](O)C1CCCCC1	OCC1CCCCC1	8
[C@H][*](C)c1cccnc1	CCc1cccnc1	8
C[*]Sc1n[nH]c(N)n1	CSc1n[nH]c(N)n1	8
c1[*]n[nH]c(=O)n1CC	CCn1cn[nH]c1=O	8
[S@@][*](=O)c1ccccc1	O=[SH]c1ccccc1	8
c1[*]cc(C)nc(N)[nH+]1	Cc1cc[nH+]c(N)n1	8
C[*]c1c(C)noc1C	Cc1noc(C)c1C	8
[C@@H][*](C)c1ccccc1	CCc1ccccc1	8
N[*]C(=O)CCSCC	CCSCCC(N)=O	8
C[*]CSCC(C)(C)O	CCSCC(C)(C)O	8
[C@@H][*](O)C1CCCCC1	OCC1CCCCC1	8
C[*][C@H]1CCC[N@H+]1CC	CC[N@@H+]1CCC[C@@H]1C	8
C[*]C[C@H]1CCCC[NH2+]1	CC[C@H]1CCCC[NH2+]1	8
O[*]c1ccc(F)cc1	Oc1ccc(F)cc1	8
c1[*]ccc(O)c(Cl)c1	Oc1ccccc1Cl	8
O[*][C@@H]1CCCC[C@H]1C	C[C@@H]1CCCC[C@H]1O	8
C[*](=O)c1cccnc1	O=Cc1cccnc1	8
[C@@H][*](C)N1CCOCC1	CCN1CCOCC1	8
N[*]C(=O)[C@@H]([NH3+])COC	COC[C@H]([NH3+])C(N)=O	8
c1[*]cc(O)cc(O)c1	Oc1cccc(O)c1	8
[C@H]1[*]CCC(=O)N(C)C1	CN1CCCCC1=O	8
c1[*]nc(COC)cs1	COCc1cscn1	8
C[*]CNC(=O)CCC	CCCC(=O)NCC	8
C[*]Nc1ccccn1	CNc1ccccn1	8
c1[*]cccc(SC)c1	CSc1ccccc1	8
N[*]CC[NH+](CC)CC	CC[NH+](CC)CCN	8
C[*]c1ccccc1F	Cc1ccccc1F	8
O[*][C@@H]1CCCC[C@@H]1C	C[C@H]1CCCC[C@H]1O	8
O[*][C@H]1CCC[C@@H](C)C1	C[C@@H]1CCC[C@H](O)C1	8
c1[*]ccc(Cl)c(F)c1	Fc1ccccc1Cl	8
c1[*]ccc(SC)cc1	CSc1ccccc1	8
c1[*]cnn(CCC)c1	CCCn1cccn1	8
N[*]C(=O)NCC(C)C	CC(C)CNC(N)=O	8
C[*]c1ccc(F)cc1	Cc1ccc(F)cc1	8
[C@@H][*](C)c1ccncc1	CCc1ccncc1	8
C[*]c1ccccc1O	Cc1ccccc1O	8
c1[*]cnn(C(C)C)c1	CC(C)n1cccn1	8
c1[*]c(C)cccc1C	Cc1cccc(C)c1	8
c1[*]cccc(OC)c1	COc1ccccc1	8
[C@H][*](O)Cn1cccn1	OCCn1cccn1	8
C[*](=O)N1CCSCC1	O=CN1CCSCC1	8
[S@][*](=O)c1ccccc1	O=[SH]c1ccccc1	8
O[*][C@H]1CCC[C@H](C)C1	C[C@H]1CCC[C@H](O)C1	8
C[*][C@@H]1CCC[N@H+](C)C1	C[C@@H]1CCC[N@H+](C)C1	8
[N@H+]1[*]CO	OC[C@H]1CCCC[NH2+]1	8
c1[*]ccc(C)c(C)c1	Cc1ccccc1C	8
C[*][C@@H]1CCC[N@H+]1CC	CC[N@@H+]1CCC[C@H]1C	8
c1[*]cccc(O)c1Cl	Oc1ccccc1Cl	8
N[*]c1ccc(C)cc1	Cc1ccc(N)cc1	8
c1[*]cc(CCC)n[nH]1	CCCc1cc[nH]n1	8
c1[*]cnn(CC)c1C	CCn1nccc1C	8
C[*]Sc1ccccc1	CSc1ccccc1	8
[C@@H][*]c1	CCCn1cc[nH+]c1	8
O[*]Cc1ccccc1	OCc1ccccc1	8
C[*]c1cccc(Cl)c1	Cc1cccc(Cl)c1	8
C[*](=O)Nc1nccs1	O=CNc1nccs1	8
c1[*]nc(C)cc(C)n1	Cc1cc(C)ncn1	8
c1[*]ccc(F)c(F)c1	Fc1ccccc1F	8
C[*]c1ccc(CO)o1	Cc1ccc(CO)o1	8
C[*]c1cc(CC)no1	CCc1cc(C)on1	8
c1[*]ccc(C)[nH]c1=O	Cc1cccc(=O)[nH]1	8
c1[*]nccn1C(F)F	FC(F)n1ccnc1	8
N[*]Cc1[nH]cc(C)[nH+]1	Cc1c[nH]c(CN)[nH+]1	8
[NH+][*](C)C1	C[C@H]1C[NH2+]C[C@H](C)O1	8
c1[*]cc(C)cc(C)c1	Cc1cccc(C)c1	8
c1[*]nc(CC)c(C)s1	CCc1ncsc1C	8
c1[*]ccc(C[NH3+])cc1	[NH3+]Cc1ccccc1	8
C[*]CCn1cccc1	CCCn1cccc1	8
[C@H][*](CC)CCO1	CC[NH+]1CCOCC1	8
C[*]CN1CC[NH2+]CC1	CCN1CC[NH2+]CC1	8
C[*][C@@H](C)n1ccnc1	CC(C)n1ccnc1	8
[*]/[NH+]=C1/CCCCCN1	[H]/[NH+]=C1/CCCCCN1	8
C[*][N@H+]1CCC[C@@H](C)C1	C[C@@H]1CCC[N@H+](C)C1	8
C[*]c1ccc(=O)[nH]c1	Cc1ccc(=O)[nH]c1	8
c1[*]ccc(Cl)c(Cl)c1	Clc1ccccc1Cl	8
O[*]c1ccc(N)cc1	Nc1ccc(O)cc1	8
N[*]C(=O)NCCOC	COCCNC(N)=O	8
N[*](C)c1ccccc1	CNc1ccccc1	8
c1[*]cccc(CO)c1	OCc1ccccc1	8
c1[*]nc(C)cc(=O)[nH]1	Cc1cc(=O)[nH]cn1	8
n1[*]cc[nH+]c1C(C)C	CC(C)c1[nH]cc[nH+]1	8
N[*]C(=O)c1cccs1	NC(=O)c1cccs1	8
O[*][C@@H]1CCC[C@H](C)C1	C[C@H]1CCC[C@@H](O)C1	8
O[*]C(=O)c1ccco1	O=C(O)c1ccco1	8
c1[*]ccc(F)c(Cl)c1	Fc1ccccc1Cl	8
N[*]CCc1cccs1	NCCc1cccs1	8
N[*]C(=O)c1cnn[nH]1	NC(=O)c1cnn[nH]1	8
C[*]Oc1ccccc1	COc1ccccc1	8
[NH2+]12[*]	[NH3+][C@H]1C[C@H]2CC=C[C@H]12	8
C[*]CN1CCOCC1	CCN1CCOCC1	8
N[*]c1ccccc1F	Nc1ccccc1F	8
[N@@H+][*](C)Cc1ccsc1	C[NH2+]Cc1ccsc1	8
C[*]Cn1cc[nH+]c1C	CCn1cc[nH+]c1C	8
[C@H][*](C)c1ccccc1	CCc1ccccc1	8
[NH+][*](C)C1	C[C@H]1C[NH2+]C[C@@H](C)O1	8
C[*]Cc1csc(C)n1	CCc1csc(C)n1	8
c1[*]c[nH]c(C(N)=O)c1	NC(=O)c1ccc[nH]1	8
C[*]C1(O)CCCCC1	CC1(O)CCCCC1	8
[C@H][*]c1	CCCn1cc[nH+]c1	8
C[*]c1ccc(C)cc1	Cc1ccc(C)cc1	8
[C@H][*](C)Cn1cccn1	CCCn1cccn1	8
c1[*]ccc(C)cc1O	Cc1cccc(O)c1	8
C[*]CCn1ccnc1	CCCn1ccnc1	8
N1[*]C[C@H](C)O[C@H](C)C1	C[C@H]1CNC[C@@H](C)O1	8
C[*]Cc1ccncc1	CCc1ccncc1	8
[NH+][*](C)C1	C[C@@H]1C[NH2+]C[C@@H](C)O1	8
[C@H][*](O)c1ccccc1	OCc1ccccc1	8
c1[*]cn2c(n1)SCC2	c1cn2c(n1)SCC2	8
C[*]CCCNC(N)=O	CCCCNC(N)=O	8
C1[*]CCCCCCC1	C1CCCCCCC1	8
C[*]Cc1ccc(Cl)s1	CCc1ccc(Cl)s1	8
c1[*]ccc(CC)cc1	CCc1ccccc1	8
c1[*]cc(O)ccc1O	Oc1ccc(O)cc1	8
c1[*]ccccc1OC	COc1ccccc1	8
N1[*]CCN(CC)C1=O	CCN1CCNC1=O	8
[NH+]1[*]CCC(CO)CC1	OCC1CC[NH2+]CC1	8
N[*](CC)CCCC[NH3+]	CCNCCCC[NH3+]	8
C[*]CC[C@@H]1CCOC1	CCC[C@@H]1CCOC1	8
[C@H]1[*]CN(CC)CCO1	CCN1CCOCC1	8
c1[*]ccc(OC)cc1	COc1ccccc1	8
O[*]c1ccccc1F	Oc1ccccc1F	8
O[*]c1ccc(Cl)cc1	Oc1ccc(Cl)cc1	8
C[*](=O)c1ccoc1C	Cc1occc1C=O	8
C1[*]=[O+]C(C)(C)C(C)(C)O1	CC1(C)OC=[O+]C1(C)C	9
O[*]C(=O)c1cccnc1	O=C(O)c1cccnc1	9
c1[*]cc2ncccc2[nH]1	c1cnc2cc[nH]c2c1	9
c1[*]noc2ccccc12	c1ccc2oncc2c1	9
[C@@H][*](O)c1ccc(Cl)cc1	OCc1ccc(Cl)cc1	9
C[*][C@@H](O)C1CCCCC1	C[C@@H](O)C1CCCCC1	9
c1[*]cc(C)cc(C)c1C	Cc1ccc(C)c(C)c1	9
S[*]C(C)(C)[C@H]([NH3+])C(=O)[O-]	CC(C)(S)[C@H]([NH3+])C(=O)[O-]	9
[C@H][*](C(C)C)C1	CC(C)[NH+]1CCCCC1	9
c1[*]cc(C)ccc1OC	COc1ccc(C)cc1	9
[NH+]1[*]CCN(C(C)=O)CC1	CC(=O)N1CC[NH2+]CC1	9
N[*]C(=O)N[C@@H](C)COC	COC[C@H](C)NC(N)=O	9
C[*]COc1ccccc1	CCOc1ccccc1	9
c1[*]cc2ccccc2[nH]1	c1ccc2[nH]ccc2c1	9
[*]/C=N/c1ccccc1C	[H]/C=N/c1ccccc1C	9
C[*][S@@](=O)C1CCCCC1	C[S@@](=O)C1CCCCC1	9
N[*]C[C@@H]1CCC[N@H+]1CC	CC[N@@H+]1CCC[C@H]1CN	9
c1[*]n[nH]c2c1COCC2	c1n[nH]c2c1COCC2	9
C[*]C(=O)N(C)CC1CC1	CC(=O)N(C)CC1CC1	9
C[*]Cn1c(C)csc1=O	CCn1c(C)csc1=O	9
C[*][C@@H](O)Cn1cccn1	C[C@@H](O)Cn1cccn1	9
C[*]N1CC[NH+](CC)CC1	CC[NH+]1CCN(C)CC1	9
C[*](=O)Nc1cc(C)n[nH]1	Cc1cc(NC=O)[nH]n1	9
C[*]CCC(=O)NCCC	CCCNC(=O)CCC	9
C[*]/C=C/c1ccccc1	C/C=C/c1ccccc1	9
C[*]Cc1ccc(O)cc1	CCc1ccc(O)cc1	9
C[*]CNc1ccccc1	CCNc1ccccc1	9
N[*]C(=O)c1cccnc1	NC(=O)c1cccnc1	9
c1[*]ccc(O)c(O)c1O	Oc1cccc(O)c1O	9
[C@@H]1[*]c1ccccc1	c1ccc(C2CC2)cc1	9
C[*](=O)N1CCC[C@H](C)C1	C[C@H]1CCCN(C=O)C1	9
C[*]/C=C\c1c[nH+]c(N)[nH]1	C/C=C\c1c[nH+]c(N)[nH]1	9
O[*]C(=O)C1CCCCC1	O=C(O)C1CCCCC1	9
[C@@H][*]c21	c1[nH]c2c([nH+]1)CNCC2	9
c1[*]cc(C(C)(C)C)n[nH]1	CC(C)(C)c1cc[nH]n1	9
C[*](=O)N1CCCC[C@@H]1C	C[C@H]1CCCCN1C=O	9
C1[*]CC[NH+](C2CC2)CC1	C1CC[NH+](C2CC2)CC1	9
N[*]CCc1ccccc1	NCCc1ccccc1	9
C[*](=C)c1cccc(O)c1	C=Cc1cccc(O)c1	9
c1[*]ccc(N(C)C)cc1	CN(C)c1ccccc1	9
N[*]C(=O)Cn1cc[nH+]c1	NC(=O)Cn1cc[nH+]c1	9
[C@H][*]	NC(=[NH2+])NCCCC[NH3+]	9
N[*]c1ccc(Cl)c(F)c1	Nc1ccc(Cl)c(F)c1	9
[C@@H][*](O)c1cccc(F)c1	OCc1cccc(F)c1	9
C[*]C[NH+]1CCCCCC1	CC[NH+]1CCCCCC1	9
C[*]N(C)Cc1cc[nH]n1	CN(C)Cc1cc[nH]n1	9
C[*](=O)NC[C@@H]1CCCO1	O=CNC[C@@H]1CCCO1	9
N[*]c1nccc(OC)n1	COc1ccnc(N)n1	9
C1[*]C[C@@H]2CC[C@H](C1)[NH+]2C	C[NH+]1[C@H]2CCC[C@@H]1CC2	9
[C@@H]2[*]CO1	C1C[C@@H]2COCC[N@H+]2C1	9
c1[*]cccc(C(F)F)c1	FC(F)c1ccccc1	9
C[*](=O)N1CCCCCC1	O=CN1CCCCCC1	9
S[*][C@@H]1CCCCNC1=O	O=C1NCCCC[C@H]1S	9
C[*]c1ccn(C)c(=O)c1	Cc1ccn(C)c(=O)c1	9
C[*][S@@](=O)c1ccccc1	C[S@@](=O)c1ccccc1	9
[C@H]1[*]CC(=O)N(C(C)C)C1	CC(C)N1CCCC1=O	9
N[*]/N=C\c1ccccc1	N/N=C\c1ccccc1	9
c1[*]cccc2c1OCO2	c1ccc2c(c1)OCO2	9
C[*]CSc1ccccc1	CCSc1ccccc1	9
[C@H][*](O)c1ccc(F)cc1	OCc1ccc(F)cc1	9
S[*]Cc1ccc(C)cc1	Cc1ccc(CS)cc1	9
c1[*]nc2ccccc2s1	c1ccc2scnc2c1	9
C[*]Oc1ccccc1F	COc1ccccc1F	9
[C@@H]1[*]CCN(C(=O)OC)C1	COC(=O)N1CCCC1	9
c1[*]ccc(OC)cc1F	COc1cccc(F)c1	9
C[*]CN1CC[NH+](C)CC1	CCN1CC[NH+](C)CC1	9
N1[*]CCc2ccccc21	c1ccc2c(c1)CCN2	9
C[*]CNC(=O)CC(C)C	CCNC(=O)CC(C)C	9
c1[*]cccc(C(=O)[O-])c1	O=C([O-])c1ccccc1	9
C[*][C@H](O)Cn1cccn1	C[C@H](O)Cn1cccn1	9
N[*](CC)c1ccccc1	CCNc1ccccc1	9
[C@H]1[*]CNc2ccnn2C1	c1cc2n(n1)CCCN2	9
c1[*]c(C)cc(C)[nH]c1=O	Cc1cc(C)[nH]c(=O)c1	9
c1[*]cccc2[nH]ncc12	c1ccc2[nH]ncc2c1	9
C[*](=O)NCc1cccs1	O=CNCc1cccs1	9
[C@H][*](O)c1ccc(O)cc1	OCc1ccc(O)cc1	9
N[*]c1ccc(O)c(O)c1	Nc1ccc(O)c(O)c1	9
N1[*]CCC(C(N)=O)CC1	NC(=O)C1CCNCC1	9
C[*][C@H](O)c1cccn1C	C[C@H](O)c1cccn1C	9
C[*][C@@]1(O)CCC[NH2+]CC1	C[C@@]1(O)CCC[NH2+]CC1	9
[*]/C=N/c1cccc(C)c1	[H]/C=N/c1cccc(C)c1	9
C[*][C@@H]1CC[N@H+](C2CC2)C1	C[C@@H]1CC[N@H+](C2CC2)C1	9
c1[*]cc(C(N)=O)ccn1	NC(=O)c1ccncc1	9
N1[*]CCc2sccc2C1	c1cc2c(s1)CCNC2	9
[C@H][*](O)c1ccc(Cl)cc1	OCc1ccc(Cl)cc1	9
c1[*]ncnc2[nH]cnc12	c1ncc2nc[nH]c2n1	9
S[*]c1nc(C)cc(C)n1	Cc1cc(C)nc(S)n1	9
[N@@H+]1[*]CCc2sccc2C1	c1cc2c(s1)CC[NH2+]C2	9
[C@H][*](C)CN1CCOCC1	CCCN1CCOCC1	9
C[*]C(=O)N1CCCCC1	CC(=O)N1CCCCC1	9
c1[*]cccc([N+](=O)[O-])c1	O=[N+]([O-])c1ccccc1	9
C[*][NH2+]C1CCCCCC1	C[NH2+]C1CCCCCC1	9
c1[*]ccccc1[N+](=O)[O-]	O=[N+]([O-])c1ccccc1	9
c1[*]nnc2ccccn12	c1ccn2cnnc2c1	9
C[*](=O)c1ccc(C)cc1	Cc1ccc(C=O)cc1	9
c1[*]ccc(OC)c(C)c1	COc1ccccc1C	9
n1[*]ncc2ccccc21	c1ccc2[nH]ncc2c1	9
C[*]CCn1cc[nH]c1=O	CCCn1cc[nH]c1=O	9
C[*]O[C@H]1CCC[C@@H](C)C1	CO[C@H]1CCC[C@@H](C)C1	9
[C@@H]1[*]Cc2ccccc2N1	c1ccc2c(c1)CCN2	9
C[*]OCc1ccccc1	COCc1ccccc1	9
C[*]O[C@@H]1CCC[C@@H](C)C1	CO[C@@H]1CCC[C@@H](C)C1	9
c1[*]ccc2nccn2c1	c1ccn2ccnc2c1	9
N1[*]CCC[C@@H](C(=O)[O-])C1	O=C([O-])[C@@H]1CCCNC1	9
[C@H][*](C)C	C[NH+](C)Cc1ccsc1	9
c1[*]cccc2c[nH]nc12	c1ccc2n[nH]cc2c1	9
c1[*]nc2ccccc2o1	c1ccc2ocnc2c1	9
C[*][C@@H](C)[NH+]1CCOCC1	CC(C)[NH+]1CCOCC1	9
C[*]Cc1cccc(N)c1	CCc1cccc(N)c1	9
C[*]Oc1cccc(F)c1	COc1cccc(F)c1	9
c1[*]cccc2[nH]ccc12	c1ccc2[nH]ccc2c1	9
c1[*]ccc(C(N)=O)cc1	NC(=O)c1ccccc1	9
N[*]c1cccc(OC)c1	COc1cccc(N)c1	9
C[*](=O)NCC[N@@H+](C)CC	CC[N@H+](C)CCNC=O	9
N[*]Cc1ccc(C)cc1	Cc1ccc(CN)cc1	9
C[*]c1cccc(C[NH3+])c1	Cc1cccc(C[NH3+])c1	9
c1[*][nH]nc2c1CCCC2	c1[nH]nc2c1CCCC2	9
C[*]CCN1CCOC1=O	CCCN1CCOC1=O	9
C[*](=O)N1CCCC1(C)C	CC1(C)CCCN1C=O	9
c1[*]c(C)ccc(C)c1C	Cc1ccc(C)c(C)c1	9
C[*][C@@H](C)c1ccccc1	CC(C)c1ccccc1	9
C[*]c1ccc(C[NH3+])cc1	Cc1ccc(C[NH3+])cc1	9
N[*]c1ccc(O)cc1C	Cc1cc(O)ccc1N	9
c1[*]ncnc2[nH]ccc12	c1ncc2cc[nH]c2n1	9
c1[*]cc(CC(C)C)n[nH]1	CC(C)Cc1cc[nH]n1	9
C[*]Cc1ccccc1C	CCc1ccccc1C	9
C[*]C(=O)c1ccoc1C	CC(=O)c1ccoc1C	9
[*]/N=N/c1cccc(C)c1	[H]/N=N/c1cccc(C)c1	9
[*]/N=N\c1cccc(Cl)c1	[H]/N=N\c1cccc(Cl)c1	9
[C@H][*](O)c1ccccc1F	OCc1ccccc1F	9
[C@@H]1[*]CCc2nccn2C1	c1cn2c(n1)CCCC2	9
c1[*]c[nH]c2ccccc12	c1ccc2[nH]ccc2c1	9
c1[*]ccc2n[nH]nc2c1	c1ccc2n[nH]nc2c1	9
[NH2+][*](C)c1ccccc1	C[C@H]([NH3+])c1ccccc1	9
C[*]CN1CCCCC1=O	CCN1CCCCC1=O	9
C[*]CCc1csc(N)n1	CCCc1csc(N)n1	9
[N@@H+]1[*]CCO	OCC[C@@H]1CCCC[NH2+]1	9
C[*]c1nccn1C(F)F	Cc1nccn1C(F)F	9
C[*](C)(C)[NH+]1CCOCC1	CC(C)[NH+]1CCOCC1	9
N[*]C[C@@H]1CCC[N@@H+]1CC	CC[N@H+]1CCC[C@H]1CN	9
c1[*]nc(CC(C)C)n[nH]1	CC(C)Cc1nc[nH]n1	9
n1[*]ccc2ccccc21	c1ccc2[nH]ccc2c1	9
[C@@H][*](C)Oc1ccccc1	CCOc1ccccc1	9
C[*]Cc1ccc(C)cc1	CCc1ccc(C)cc1	9
C[*][C@H](O)c1ccccc1	C[C@H](O)c1ccccc1	9
C[*](=O)Nc1cc(C)no1	Cc1cc(NC=O)on1	9
[C@@H][*](C(C)C)C1	CC(C)[NH+]1CCCCC1	9
C[*]CN1CCCCCC1	CCN1CCCCCC1	9
c1[*]ccc([N+](=O)[O-])cn1	O=[N+]([O-])c1cccnc1	9
[*]/C=C\c1cccc(O)c1	[H]/C=C\c1cccc(O)c1	9
N[*]/N=C/c1cccnc1	N/N=C/c1cccnc1	9
c1[*]ccc2c(c1)CCO2	c1ccc2c(c1)CCO2	9
[C@H][*](O)c1cccc(O)c1	OCc1cccc(O)c1	9
[C@@H][*](O)c1ccc(C)cc1	Cc1ccc(CO)cc1	9
c1[*]cccc(COC)c1	COCc1ccccc1	9
c1[*]ccc(OC)c(F)c1	COc1ccccc1F	9
c1[*]cccc([S@@](C)=O)c1	C[S@@](=O)c1ccccc1	9
c1[*]nc(C)ncc1CC	CCc1cnc(C)nc1	9
c1[*]nc(C)c(C)c(=O)[nH]1	Cc1nc[nH]c(=O)c1C	9
C[*]NC(=O)c1cnn[nH]1	CNC(=O)c1cnn[nH]1	9
C[*][NH+]1C[C@H](C)C[C@@H](C)C1	C[C@@H]1C[C@@H](C)C[NH+](C)C1	9
[N@@H+][*](C)CCn1cccn1	C[NH2+]CCn1cccn1	9
C[*][C@@H](C)N1CCOCC1	CC(C)N1CCOCC1	9
[C@@H][*](O)c1cccc(O)c1	OCc1cccc(O)c1	9
C[*]Oc1ccc(C)nc1	COc1ccc(C)nc1	9
C[*]O[C@@H]1CCC[C@H](C)C1	CO[C@@H]1CCC[C@H](C)C1	9
C[*]NC(=O)c1ccn[nH]1	CNC(=O)c1ccn[nH]1	9
[C@@H][*](O)c1ccccc1F	OCc1ccccc1F	9
C[*](=O)Nc1ccccc1	O=CNc1ccccc1	9
[C@@H][*](C)c1cccc(O)c1	CCc1cccc(O)c1	9
n1[*]c(CC[NH3+])n[nH]c1=O	[NH3+]CCc1n[nH]c(=O)[nH]1	9
C[*]C[N@@H+]1CCC[C@H](C)C1	CC[N@@H+]1CCC[C@H](C)C1	9
C[*]C[C@@H]1CCC[N@H+](C)C1	CC[C@@H]1CCC[N@H+](C)C1	9
[C@@H][*](C)c1ccc(Cl)cc1	CCc1ccc(Cl)cc1	9
C[*][C@H](C)c1ccccc1	CC(C)c1ccccc1	9
O[*]c1ccccc1OC	COc1ccccc1O	9
c1[*]ccc2[nH]cnc2c1	c1ccc2[nH]cnc2c1	9
C[*]Cc1cccc(F)c1	CCc1cccc(F)c1	9
c1[*]n[nH]c2ccccc12	c1ccc2[nH]ncc2c1	9
c1[*]cc2ccccc2s1	c1ccc2sccc2c1	9
c1[*]cccc(OCC)c1	CCOc1ccccc1	9
